
 20230615	00:29:50 	c7910d0b-4a6b-4c4f-8863-54e6befe2fef 	/add_icon.png	GET 
 20230615	00:29:50 	ba45d0a6-e2ad-4f27-b624-808652e8331d 	/save_icon.jpg	GET 
 20230615	00:29:50 	0d4716de-7b77-4fe0-a736-d750902bfee2 	/upload_icon.png	GET 
 20230615	00:29:53 	e701f48e-3e8a-4057-b8d6-b0d603af320f 	/images_meat/bacon.jpg	GET 
 20230615	00:29:53 	ce7323f6-0354-4177-962b-94c6264fded2 	/images_meat/tortelloni_meat.jpg	GET 
 20230615	00:29:53 	acb8de44-ee15-416d-97cb-6e6a2eb622b1 	/images_meat/quiche_meat.jpg	GET 
 20230615	00:29:59 	4a3eaff3-369a-4699-b690-d7026d99cb7c 	/delete%20image.png	GET 
 20230615	00:30:23 	2978e9e3-9eb7-4901-88a1-44e4f0bc5639 	/images_meat/quiche_meat.jpg	GET 
 20230615	00:30:23 	c921ba91-a5f5-41cb-9c18-2176e074eb76 	/images_meat/bacon.jpg	GET 
 20230615	00:30:23 	8e473cde-e9f9-4211-acad-f2be5cae0169 	/images_meat/tortelloni_meat.jpg	GET 
 20230615	00:30:29 	8e199ffa-0806-4277-a482-1bacc1746e46 	/delete%20image.png	GET 
 20230615	00:30:35 	334399c7-bbbd-44bb-a33e-8609b69e06aa 	/add%20to%20basket.png	GET 
 20230615	00:30:36 	7aec46f6-05e1-4ce6-9bf9-c5553bfecb02 	/images_meat/bacon.jpg	GET 
 20230615	00:30:36 	7cb69365-9b94-4a75-8604-5e6d96989a67 	/add%20to%20basket.png	GET 
 20230615	00:30:58 	462efa6a-9ef2-4d7b-b5ac-822696e07558 	/tick%20icon.png	GET 
 20230615	00:31:06 	773ed042-f996-4ee1-979c-56dc38b87685 	/	GET 
 20230615	00:31:06 	2d38de9f-b668-4563-a57b-90b7c1742851 	/style.css	GET 
 20230615	00:31:06 	81994244-3e52-4999-b7e8-57620e4aadf0 	/script.js	GET 
 20230615	00:31:06 	2c7ae594-d6a3-46da-833a-bfbd7f7aa6f3 	/images/fish_2.jpg	GET 
 20230615	00:31:06 	0b3e55e9-1db7-439d-9c16-bbcfb6f3e1db 	/images/meat.jpg	GET 
 20230615	00:31:06 	ee6c964e-2160-452d-929e-024e7c02162e 	/images/vegetarian.jpg	GET 
 20230615	00:31:06 	19a2acbe-2b10-4daf-a1ed-9e47ecf16fa7 	/images/dairy.jpg	GET 
 20230615	00:31:06 	0c4c9636-afc0-4ba4-b5d6-1b9346519ebc 	/images/fruit_and_veg.jpg	GET 
 20230615	00:31:06 	7ee0cc40-c96a-4c8c-8d07-b8a82eabf102 	/images/bakery.jpg	GET 
 20230615	00:31:06 	191611f4-fde4-43a5-997f-e841b6daa53b 	/images/pastry.jpg	GET 
 20230615	00:31:06 	2cd23cc9-9167-4222-a9a9-0245d985f8e3 	/images/hot_drinks.jpg	GET 
 20230615	00:31:06 	5f6f43dc-800e-4a5d-86e2-9c8d72a69b0d 	/images/cold_drinks.jpg	GET 
 20230615	00:31:06 	89fd583c-bfef-4d4e-87cf-b9d4ffbbf634 	/images/alcohol_1.jpg	GET 
 20230615	00:31:06 	259564b5-8bfd-4f45-83c7-187c0465f886 	/images/toiletries.jpg	GET 
 20230615	00:31:06 	debf6e4a-c01e-4b3e-921d-3fb664e36fb1 	/images/cleaning.jpg	GET 
 20230615	00:31:06 	c477546a-ccb6-422a-aa2a-800d88e6dd45 	/images/misc.jpg	GET 
 20230615	00:31:06 	9c633ef0-ed27-448c-aac5-a069836c00fe 	/home_icon.png	GET 
 20230615	00:31:06 	f653fd91-a35c-46d0-a5fd-dd7fd85c9d75 	/back_arrow_2.png	GET 
 20230615	00:31:06 	4f95404a-41ee-4c25-a855-52b039e5ddf7 	/add_icon.png	GET 
 20230615	00:31:06 	2e63b6e2-898c-425c-898f-981107f7a821 	/id.js	GET 
 20230615	00:31:06 	407d6e74-60a6-496c-af2f-1ba730e12add 	/shopping.json	GET 
 20230615	00:31:06 	3451fd5c-4d18-43fb-a844-ee259d412940 	/save_icon.jpg	GET 
 20230615	00:31:06 	0513397a-235a-4409-9c94-2acea6156a9b 	/upload_icon.png	GET 
 20230615	00:33:57 	8fab701c-d689-4c41-9c53-d8853700db5b 	/images_fish/crab_sticks.jpg	GET 
 20230615	00:33:57 	aacf42dd-fda5-40ad-beef-ec1ff3ebcdb7 	/images_fish/fish_cakes.jpg	GET 
 20230615	00:34:03 	c7696721-c77b-45ee-a699-279ef8093146 	/images_meat/bacon.jpg	GET 
 20230615	00:34:03 	36c572a6-69ec-4fd4-818c-77419ec91489 	/images_meat/tortelloni_meat.jpg	GET 
 20230615	00:34:03 	5edb2bd6-a0e0-448e-a445-0ef3d665ce7e 	/images_meat/quiche_meat.jpg	GET 
 20230615	00:34:07 	629c596a-ce44-4472-83f6-60931ee31eb5 	/images%20vegetarian/quiche%20veg.jpg	GET 
 20230615	00:34:07 	79c8aac5-4c80-42e7-a898-75fc01a11b97 	/images%20vegetarian/tortelloni%20veg.jpg	GET 
 20230615	00:34:59 	ff199ad0-e1ab-45ce-bf54-49f13b945ba1 	/	GET 
 20230615	00:34:59 	e53cb366-79f1-4526-8799-3cc9a8896883 	/style.css	GET 
 20230615	00:34:59 	ee940789-777f-4608-be4c-dc483d610916 	/script.js	GET 
 20230615	00:34:59 	a1507e38-6312-4055-828f-c24e95c67f4b 	/images/fish_2.jpg	GET 
 20230615	00:34:59 	e22cdeb9-3a3a-4086-be70-33b5159c0c7e 	/images/meat.jpg	GET 
 20230615	00:34:59 	38fe1dc9-97e9-41bb-a0e7-fd34c20af523 	/images/vegetarian.jpg	GET 
 20230615	00:34:59 	c748d4b7-75b0-4b67-a807-5805b7144f21 	/images/dairy.jpg	GET 
 20230615	00:34:59 	cca37d94-e3f5-4414-9833-fba2fefcb3a8 	/images/fruit_and_veg.jpg	GET 
 20230615	00:34:59 	1d4e13b0-c1cc-497f-acb5-d382dc669fa8 	/images/bakery.jpg	GET 
 20230615	00:34:59 	6325fbb0-4617-4b58-b3c4-6a345ee527a6 	/images/pastry.jpg	GET 
 20230615	00:34:59 	bfd4649b-9a00-48cd-8f80-b6306a5b69c2 	/images/hot_drinks.jpg	GET 
 20230615	00:34:59 	31f5ba2a-2e6f-41b2-928b-152358811296 	/images/cold_drinks.jpg	GET 
 20230615	00:34:59 	d6848191-8086-4e0b-ab3b-5e3483faf282 	/images/alcohol_1.jpg	GET 
 20230615	00:34:59 	16624eec-61fe-4625-96df-87ce9021e3ba 	/images/toiletries.jpg	GET 
 20230615	00:34:59 	b955a05c-1ec7-4d18-82ff-b44347e52cd2 	/images/cleaning.jpg	GET 
 20230615	00:34:59 	8461510e-065c-4ee2-9956-0ca7ed3b411d 	/images/misc.jpg	GET 
 20230615	00:34:59 	7230c204-48d7-426e-993c-8c1d1693374e 	/home_icon.png	GET 
 20230615	00:34:59 	6201de1e-52ec-42ab-8159-0b02295a2dfa 	/back_arrow_2.png	GET 
